id,name,name2,name_temp,price_min,name_staging,price_market,name_proposed,price_proposed,name_alternative,description_range_0,description_range_1,description_range_2,description_range_3,description_range_4,description_range_5,description_range_6,description_range_7,description_range_8,description_range_9,description_range_10,description_range_11,description_range_12,description_range_13,description_range_14,description_range_15,staging_info_part_1_chunk,staging_info_part_2_chunk,staging_info_part_3_chunk,staging_info_part_4_chunk,staging_info_part_5_chunk
448,immature continent,unsorted mulberry,immature continent388771,709,unsorted-mulberry,671,immature continent_Final,1450,unsorted-mulberry_Alt,FEXsj9rLdUWc9a,AQlX1yFxXzBfNNyFoOa,k1SamB78KP93lw,rFd92YUnJwv5WfFM,Zidwp4bxxklcadCQbLprFHQIhCPjCc,ObSdK22QsdgOv4487iprYb3VGHRDHe,gs1bHuiMa,L3cPOwnCz9dgld,82UV7snSMgjw,6cZuE,dcgbMApkgxhetGPvaSn61QKe4xv,qEIAGO6Qx7mr2,UvdFElxhJ57K4vKF5Y3UExPEzLdE2M,THi3V3t,DpHpFYEjPcruhUNM0ANoWidm,SVytOnldMQYl,<blank>,<blank>,<blank>,<blank>,<blank>
449,humble period,livid catalyst,humble period358081,1405,livid-catalyst,1321,humble period_Final,1774,livid-catalyst_Alt,OAHi8MHq8zv,ASRkFtJ,Lx9udQj65p,JuxETok5ASHv5Z7vE4vH7Xjtl7Q,0v84Zgoa368NAwqfOFW4FQzrs,htPtN8VvnYEogU3F732uBnwkHq0GV,qWArisMF4dlCoslF0DVo87L7m,rQe7ZMS6VjAvOYI1T,jJtH8p46t7,PkT9ZRpVOehwQ2,7JDdaGp2U0LcFLWpSk2,07GHfl3HTZrVSuX6dfcS,6ckDz,0T6fDaw9mjd0H,ngoK2qmCaGhuU5CNPo68J1i,PGocvXGMN3fJcjOjmzxXJtmwcU,<blank>,<blank>,<blank>,<blank>,<blank>
450,arctic nugget,dark rank,arctic nugget96873,1180,dark-rank,1125,arctic nugget_Final,1527,dark-rank_Alt,oOBFht4pA,Qe3SRFJ9wzm,sXc6KRrY6qxqp5Dh2YJ8f,spLhV8m0zlhHAFDzK,GqxgwMwjM3dPX,XY3AcIuxXc4NMSI4DsrMhKBcfJB,IBq7yziQBE0dwCY,UJGC5D86HAPIF9PaoZce,aJ5HfSLj,3aHDwWP,dCsiO3VZqi,b3ASjK3h9JKN,zpkyp713q392JXCynpu7t4P1,g8O7kN,tfDK99Qaxjka4cc9SSxvQSS7K,EQFjw3lOmD2r2SxJEpVPk8feqNt,<blank>,<blank>,<blank>,<blank>,<blank>
451,decidable lacquer,free pipeline,decidable lacquer36030,416,free-pipeline,418,decidable lacquer_Final,843,free-pipeline_Alt,ckYjySZpWPJnPjCE,8CmBdA2vYM5yXUSwAGvUxXfyInX,Fhm4DMLOP,FIhLMrWztx32ynnsE8LJKCZ,fMwoH,DFT1FgEBKCL,nFc9v6XmC2EDJ0,MQY7aFoCUKAIV8YfJs6JtgykBuFCpR,8WfJSYeJ0Tc,7PHpYzxBxY7HCUeMMD1yolJYcn,DkBMqGX1hG6gJTQjdb49gURd,fdbQvAk9NO8KLLoBSnLA8,Arjz4mENjxh4Anr8jT799Z1NhAPxj,u6nfC0oU,lSDWKZYTZO1MCdu0NWVIh0MzffmO,wAdzKVguibe5FDedQ4,<blank>,<blank>,<blank>,<blank>,<blank>
452,one spice,planar prism,one spice194091,486,planar-prism,457,one spice_Final,1162,planar-prism_Alt,wlKzszhvbnnEhhJntjwL4d6K4fKn5,lKXucpNvQrULWw15k4BULab7sSXNGx,qbnndHTLNUoHw,uk8E7XULG,y1o2fniJFaJAi4CG,kbMmTmEybm,la0nXiYlgraU3Wk1YqRB4,BaoLblmMH82hMYjpv9PW,qE8uvzQZd,isg3pbAYrjxwvIIJpfMp,uhIgMu,H7u52LVG,3g1ozVPzOlJQ1cLzfNU9pQ5ld2BzJ,aHL0mgYFqu6WpmpuNyLukBd,Ndmczs,gKY7hnBU1GSsydT4b,<blank>,<blank>,<blank>,<blank>,<blank>
453,minimum team,glad bumper,minimum team386289,745,glad-bumper,732,minimum team_Final,1190,glad-bumper_Alt,w5tPiPCr3AKjwxIC8vzp,cb1y43zL5D,ifHUuEyQG5kLZx7ZWWmO3ya5To5,niQtM6ad7xkgFxe9Jmt9SfE,xuJ999dACYaeSqjpuNJtBrt,fNHL9RTQ4eaIaCb7kY,jTe0zG8eLlR1ehan,iyQptP,2Ywx9XfxPOrtXFILLOld0wZ0GCh,NMcjA3U1y1eHApK,KzZxR0J0FqkuUWYHG1,o8wxxA,S19R3tU,oxMQDrwhW64,dpSaVTEgH9L1,y0oOlMWi,<blank>,<blank>,<blank>,<blank>,<blank>
454,iron triathlon,mean amplitude,iron triathlon329907,786,mean-amplitude,702,iron triathlon_Final,907,mean-amplitude_Alt,b3gg1cEG,BOTIov8k5c,IGR8JyrPot9dfsgi17,PlcLYvgLCh4RS59ss,iVzpsAju3WcKk7asS,ISnfHIhPV6t03rjYF,QB9ox5EKwuxniFLBS5rt,mcyQbYwGzlicBcO,zzGQYUnvGa538ysqqO6YFEC6cU0w,FNOny7,Uzni5CN8LOGaUWfYi9VskX,vLsE2GSp1jdr6vw25d2ffwwuxeM3a,VmxEFlNO,EXSyJgsFuP7,hK459iCcdrhYS8DHRQWUKZccgLyd,R1JZ7VN,<blank>,<blank>,<blank>,<blank>,<blank>
455,tempered chart,fancy phalanx,tempered chart248147,194,fancy-phalanx,171,tempered chart_Final,1009,fancy-phalanx_Alt,qfumi,4LMWWmfX5czK,mxmuMZ5Wqy2fx,UK7koxRtVK,PdclKEHFt8mnOAXJI3C12ZWzJC3O,vDF6BTw8gslvx,naNpAdnyL4MMMsf8JzxgvZ7ZTYZ,6G4xyBTuH,Usck8m39LpAl,qc7fbfIlzD2fTLjbf,sRWkkpNhOIqDlQFjdg5bV,5l8JaLv1SODnY,flMl8SHdMML1suZbBZbBOL,4ypMafVZ,wbKXqhPFeXsdaMGBPTI6iAIje,pRQSiu,<blank>,<blank>,<blank>,<blank>,<blank>
456,dry fixed,silver interference,dry fixed204459,1052,silver-interference,1046,dry fixed_Final,1435,silver-interference_Alt,qNvFDwCQAXYRTQgNg614gnwJ,OQTTBiyWovjauaQTpkL2J,dUHCKLvT3HghaTMKTESHtuIqJoH,iEs1Lwkjb7Ih,LvPs3eaUnF2t4W1IHsN,1knl4uJpTry8h,c3Tehv5qsWfWO,Ld8LT,XdemfOH5q0rM0,vKgvr5r3ht5s69SiW2PT0,ZLXsP3yh8dwoDypG,mtQnabsB3Rp9V7R2Tk,9pCVCyFe9NdHOb,9OSnIvrxa369LU3,n39SHmkZzbnugRPEmC,KMHwulztgbXZSol0ONmgNC7nl6s,<blank>,<blank>,<blank>,<blank>,<blank>
457,chalky specular,frayed gin,chalky specular202132,967,frayed-gin,974,chalky specular_Final,1495,frayed-gin_Alt,deMSRCzJSkgbo,6GBlxiYyCiK5nyny45q,bw2NW,dblFP4rZMvaIXToMRqEzv9sHV8,dMYxUamuai0CUlr0tjzJT,Ed2UQ,EEiJmxwhIhJ0nY9bp8sAE,3RASjIPlG57YoJWRqwc,6YhVT,7Jq6eX0mhALdc8IPn,5Ty3ncX1qVDDARr9sZWK,XtyUSyu8FvC0GNppnLcWUtLg,XbKIh5fpVlEtB6gG4DxgUDP9IKQRKK,dEg3w,cespax3JcZcul4c8O6ewRE,WftJAcHYoa,<blank>,<blank>,<blank>,<blank>,<blank>
458,gray glide,plastic fathom,gray glide184420,1843,plastic-fathom,1850,gray glide_Final,2000,plastic-fathom_Alt,HUqPTSPj4wVN0zx81w9oO3o,MO51trFxAzOYQVq8,FHLOgv,0Wv3xxY,p0eOALNA2XOJMIL4aZv6flXI19S9,SBl1zbToKsTdU1HgNSIHGAO,RUfhq,hCKwkk7aNUkLCmwQZluCr,4ChxChI2N328,boHaKkrBnndTS6K4K,Xo5KV2XSxwqgVyC1lGWvbuRCRs,9TaTAa7VCTi44aHvUF,3Hec6N19Q,LLfdb,jdr7Ev5pDwVOiGCSD3fw2nvbhEigKc,ti37xlBYpn,<blank>,<blank>,<blank>,<blank>,<blank>
459,glad layout,figurative balustrade,glad layout342188,1473,figurative-balustrade,1389,glad layout_Final,2342,figurative-balustrade_Alt,ly11aygB7xTl,f9CT8HlmRjYPA4x5LYIrtCfG,8wXeQdVqzQWW38mt,btNqGJfA,WQzKk6VnsLykhr6w,DsmJyPm5z03N1MsOiOL8ChnsbNHpv,YjyWwrqXf3eBtQ5L5tdKx,Ce5dm3L7h8PZ7cYjnHAvGm6,xw7lBcM6XMl9gWcpIkq98RsVeRNI,4hj3LGjKfJT,9RrppG06vXK,tCZWNW3CMTua,CsOstZApEd9vJjm,T7YJjbJd05CoOZZ7P5LpPxkfww6,3eKaydt8ZweuXJ25l8pxGsZy1JxJ,VF7n0,<blank>,<blank>,<blank>,<blank>,<blank>
460,undecidable bogey,regular gym,undecidable bogey186820,1088,regular-gym,1027,undecidable bogey_Final,1474,regular-gym_Alt,idhcNnzfxkwSAHtdJw0c0GKpVXMZb,bYWyBegGxubNZl0m,rN39KGKwZmpaUgDiK09,TNr9rpBjF,aYsU7xgOE11,Gyv9pMnpkrtjORXv8XIEMpjZ,4wprZAmzogwd7kg,fJtb5seQEePpv5domhwWp6thTILY,HZV3W9EBEuV2z7V,Wog71A78DxXXNHZg,2d77KDDUua1sBg1zMuuRh1yR,wN2hkIsK1ys5PNdE9H,hXf792uA5d0XOEpfqUEzBY,XZQNMyuSs91G3Q9i70,rG3o0v4znOWKmyWtKc2SCBBqUiLsX,KinKapBy,<blank>,<blank>,<blank>,<blank>,<blank>
461,sour roadster,quiet grip,sour roadster267693,1495,quiet-grip,1417,sour roadster_Final,2059,quiet-grip_Alt,8mMH2TDo4Ps5,k21rGjDewaF2xt3E,UcYgU,KeqUPRDzYLPNDyQxUc,vKC56Escw1xKqCNf9AFEOM5uQ,p1QCCVxEjfmBZxQdwvWmFHvOouBY7,MqhREwDBGFNExajo9SVY87WyJdiwAC,17XBJax0KkB3ilhpJ,S9uQvL6C1mKf9Aq,NKZO5yMH,O5mgg6nfy9,wUqYTqy7qHugFQExQ5w,9oQ0z,lqvKqn8fBTWvz98,RB5mHFflbKJyuNfmAAGs5J5HdLGtcE,FzwICJuqJ0xH,<blank>,<blank>,<blank>,<blank>,<blank>
462,dyadic sync,approximate region,dyadic sync164590,1406,approximate-region,1382,dyadic sync_Final,1698,approximate-region_Alt,qTmnBOCRF21XSsI7ngYB,HSgh9gWR4BeIx,znrZWWYOapmNTbfBTugSwgU6GwRFr,mBE18THMWCaesYHzC,TsCEhZmlPlE,tnB2Zs22HZmSr591uwv,DqMklrdO,nQS8DqmpC1x,Q1bszO61eZjEltNe4xhabDrqJU0,Y8xTuu8YdxOFG38vApsuzB,hYCYadFV2B9BJYhfUe7f53f,5OJvg7OlM9Ol0PYL2hxi,FIPCcLJ,ZuxzOpbjNOtn9fh8n,jttK7ULqOHrQezjQTfTbEdpfhf2LBb,deZnvLwD3rJh9,<blank>,<blank>,<blank>,<blank>,<blank>
463,timid highway,express regression,timid highway306454,777,express-regression,768,timid highway_Final,1394,express-regression_Alt,QkJjb,zBSpIdXKs10HNGoA0,w24KYxtAGKJQRNoOXr,r5TwtojBsPmMWWmoE0kJyDy9I,YGJQfWajZYwdD5tuNWo,Qcwws0CNdR,GsXxiS2dDRnh1eMx37ukd,IhQLZ2z0ZWsSCb,pzqYp1Nw6,uk3ciVCyVZ19J,VqoVGDDlHb12Yu2dBVkF0plno3wyY,4QvBgDaDPCGxJwXMxe,SimszvGcWT7uWz0FildG,iu0ONnq1Ww4N,lKCAV0Xa7g5xs,hxo7DyLlDESU2X31DZwQoe7,<blank>,<blank>,<blank>,<blank>,<blank>
464,afraid sedan,augmenting database,afraid sedan353388,131,augmenting-database,122,afraid sedan_Final,249,augmenting-database_Alt,KSZ6Rb6WMpJhnWX,ajfjRkQ5,7tR96c3Xb7zstVprDp7hlFIZ5ihsRk,2ZRG3GhFjADr0,MxzUn6g87Cp,gG1yOVCvW6ZSMCGEX,JGh9294s3tbfQCa9dUlxmpHoBVo9c,BUxuAXPSgG57lUpRg,TXBNGskV4uVrVnWXfDO,QDYy3rJJH9qQODs,LpdKeKq2oQ2,3MGpBIsBV85NzcC3o7JBiqyHU5er,tNwQi45YYKqSggOTWUFRNN5dFR6,uCgxLXlJJP,6qSHtnUaBXMoJGx,mVqgLu5Gl,<blank>,<blank>,<blank>,<blank>,<blank>
465,principal simulcast,calm act,principal simulcast226780,1260,calm-act,1260,principal simulcast_Final,1893,calm-act_Alt,910Zk3YKFev,SP71xCxsbY1zG,jMR5B4NrggqLjzms3TM7688,cIoW0lhefkP5IE3Z,Xg1rDyn,rgMwXqYY4VWFmNcaph,a5u0S0dLrJFE,k2DqMaHSh8PxzeohD0pMRL,8isDyqRHP0k0j91,T9GpDO3PyHIrMB0la6CWQwzS,72svK,PMJAn7dpXcNY0ZtRv2fddvhQpU,rfbNS2mPAIEaZTE9NSygXQJHm5bvpe,4ImvC4ahGMAdf8Qz4N9liQ0cKk8KKk,xEr8gKLl6k,rXIDoDSScirBTP,<blank>,<blank>,<blank>,<blank>,<blank>
466,brave accent,marked space,brave accent87593,697,marked-space,652,brave accent_Final,1579,marked-space_Alt,n3sZ5kFDIxDrJ,JgEVyiXmQRL,VBovdPiYXHx9S,Si3cfmjeoUzC3tNROZ4a8gUeB,ELJgjPPEicCT7NyCCm6Q5rJFOV,Z9mjEa,yDtFwQHWKD48o51IF6e3Hx9K,SaofBX51Ivuwy4ULLAY3NZjlSur0Xv,mg9eLnAOt60IAGDOLeiykM,UnU7w8r9TCey7kSsJeFs9v,UUbXyeXUPNAgo1y,dog9Ffj7X8,y4i1uTgQExVF5yZX,l8cyyoYb7aXrfNJtlRPIS3kpK1u,IF38F,ZkZRpbKWEEOe,<blank>,<blank>,<blank>,<blank>,<blank>
467,naive butterkase,black bed,naive butterkase197911,1073,black-bed,1061,naive butterkase_Final,1726,black-bed_Alt,jOjz2K8irjEl1l9u20iEDbcBH3,bXZcHLIqzDkrNzHEiD7nX1c,wDcDBnOuMXdjy5IijdcMXZLy9,nQtIc8dHF0fcZ6Q5LrE1t7kESqu,sEKxA75H8M3JrBMeaUaQ,4eXp0b0gTsRzyD41TfFc,CZt4JXpjdsUfM1F0V8Z0,2NrbSrNKRa8t0PCrm,9O1N8IFqm8FeDmzobw,vRY1S,epX0IZ1FQfKub5Jt,EcLxrSY4sCWXb04PCyNCgEx0J8ww,7z4ZMBXgMIDlFGvVXK,iT2ri,gYpZny5ir1mC0hupOc,tpesHrxozAsDdh,<blank>,<blank>,<blank>,<blank>,<blank>
468,obnoxious synergy,young ambient,obnoxious synergy58192,138,young-ambient,124,obnoxious synergy_Final,390,young-ambient_Alt,AwMnSAdwJ,Cbn4vGG5MfHsRI,CA4NPePtBhhzHjSmvHGGruxUJ,w43Dx22Cohj,WCWSNLnhCpjeuJRjaCES4D,iIzpeBNOwCvMiSoHojk,w90eSeqSgUM7eDCRUYEwGXic,bedOJG8btJKN7gLD34rizDtHk,06SR5T5YbfkOrHx,BjKoHkd,3hFxMSqjmgaeBUTnk,23N6THJfnZeiaAaabWYE7arrrIjTi,XRXFzvKd5t,RKc57cLxoUJicb1lCgPg,YNQkQ1P73b0,UCt72qFVcqgerXNeYSieZF25k98O,<blank>,<blank>,<blank>,<blank>,<blank>
469,lively factory,oblique composer,lively factory209082,451,oblique-composer,390,lively factory_Final,1278,oblique-composer_Alt,1Rg3cwLgqp,sGmoga64P,SOX4CuGYUkYwt1xdXUT9JX,CmHrQXHQdc5TOgy3T9Df5aLgC5mBY,F2a7VG,ygZPJasWQDCwAaRul,txLWSxvCYWXWYXa7wH511,p1xjD75hF8vNbC1eXJP,RkxC0rdyxhqJoLkAaSQw,Kb4AY3uLYtNGmfgCdqK,QL1KvhUlrpLpAwzHyZA956,fAmMH1Q,prOhpYAAE9VQUmOXdr,U9Fh4bT2l,jcYuLWW,0cg3VI0hp1ZNVb0ZxFfRzM8WC0Tv,<blank>,<blank>,<blank>,<blank>,<blank>
470,adagio grout,emerald casket,adagio grout40364,1360,emerald-casket,1274,adagio grout_Final,1645,emerald-casket_Alt,qaReNBvAzQ,umrrZUaCAnQmfLPgt6mRmBXClxZM,j2JNEh3KoqJojQuIyfCcArd9Z8qML2,Herfvgk0EuqDZst57oX,T3sPWBl2wSkDlj88N,1LgjYIo7JJ2tVTDrBbERu,rtDtuqszNz,t6RkK6lb5o5FB5,v356a4p0vU077tX8rp,xyJ8AgN,wA2LPdbbTgi9fg1rd935,k4ktSZOsh33vTYAAox7X,L8HJjehSlZq8,zBBHaD,4Ms6gQ7jTy6tc,dAay96odvi813hN3GFutBC1P,<blank>,<blank>,<blank>,<blank>,<blank>
471,immature teapot,sluggish fjord,immature teapot351336,554,sluggish-fjord,503,immature teapot_Final,1401,sluggish-fjord_Alt,sRGHIPd7zEEYYoY3ABpQI7TD7BBxV,jry6Nefm9,H3bQaOmm60bkfBj1ebXo1QFn,VXxfC8qK40u,4InqWnQq1h,RSbW5vOceCBi9doQ6PbZbXJfn2,yZiUgyoREzu4RETtd8NtgQ,8YtkNYiFYrHPcdXCg0arMjBnPiZ0XY,r1pZEhBMCGgCGBWd,blfeWaRy5OrejAkC8CHf2t3uGhdID,kgGFE7xasRm4pCYs6jL6EFjzRk,FB0oPf8mBBk5DSTtByannAD3T,ZTMlRmqJEnveDQCPL2Q2r0sXd,cpOXbha8T4aC4S1Qe,BkXq7fi3HU99mW5uYi6bd8t3Y,v6SeqJg748WYIZWErIYDIn0hV,<blank>,<blank>,<blank>,<blank>,<blank>
472,direct coyote,frigid color,direct coyote289728,1699,frigid-color,1695,direct coyote_Final,2510,frigid-color_Alt,FhxBmM70Rncpl7Ah,rb42mKmAXjit,V6aAY6rZsLwjEZGdiBFMmo,p8agE87ehq1hxH1,bn13rNEWnPK2iGYSKGLXYMQwI3Ts,jkoCDgeQk,DhypsTXvynyyB,myoMLZSF8Np1jlgPqrizC4sr,fWXFNfUmiC,PR2QNUxqi45Jj0MYHR5zCvY,nKTgb,gP7ZPXsYnwMJdBV9jlsYkYTKrOhbSC,zlXDuXA,wIxqOuZrI6vRR,OIQ81lFuhP4UKgmCibpQ,UHij2q8xfiPg4M,<blank>,<blank>,<blank>,<blank>,<blank>
473,independent router,alternating frame,independent router370048,1109,alternating-frame,1082,independent router_Final,1959,alternating-frame_Alt,Q4i0fCxh1yoez,5u87U5E9IybzcagbVuWxvfgSeKd,OP9uS0,VrohocKKCFtXltIeZ4lqg2A5J3q,lXx93jAeG4cLBAf4cEICH,8iSiqhijI,kKCIcVEzpUUb2kxS,q64H665v21aJhKeLM,iu3B50yts6,wNb9GeAt40rqDSDpwgoq61V,eLH9w0Et,qjyqPCUExVPVhdpu3MsNeY,NFK4ZG0,UW28i,DY1nCKCLflyB281fuxYp,a7XLfds0aJxIYSKBTKLpTHIk,<blank>,<blank>,<blank>,<blank>,<blank>
474,square azimuth,all clerk,square azimuth261335,571,all-clerk,560,square azimuth_Final,672,all-clerk_Alt,wIYqtbi0z8YT,TNWrKuwAHZ015jOkTdzeMDLoB,DPfNkR9,QEjNHWQIevFvzxvaVws,HF4i908P9mjcbu1EwoUTse,aX5KMa5JU50XPURjy,7vRv0IBPVQDNzMzs6OTaAl,AU4FaeUjXz7PZzV,XbqRTYvCV,N85ZSBL8AIPYg1SEvrfNFT,3wXB5bgYURM13WSS,qBPNeCb9tSvUvuvGjRVP,KqDMVOxeUOEW2punJ,kBGO5dglI0D9Wa4T09ltFj5iUAoroP,pi1K7G4VJ8UojsStTdvu,j1KqWjEcF6eD4bXOS0T0vV,<blank>,<blank>,<blank>,<blank>,<blank>
475,lime string,generative grade,lime string144577,1435,generative-grade,1385,lime string_Final,2239,generative-grade_Alt,YgWlOvir,FjMQPoCXgVl0Nk2fOC8MYGIMK,QQHq43UETEZXjgQ2K9nXeT,jwa1EkA2PXg2wUD7mhpw,nx4Um4UrUzTeaCPodLcWA9NMWB,NzZIovXq0BDHEzUs9ffTrOXcMx,NRHu87stiWbiXnlJSb,l19oTfhsL58kyS8SKuRf1VoZ8,bBxZAGv4GcWHyLDJYA9GC9hfT1Zf,nF6bDaKkvXj,slOg0COfuNUqYMalQiU4LQee1H,hWpd02,9AmG8D5HIdwpuqG585,FLpxObXVb0cNU67lGOhJa3tVD,IXibS439K72pfCQ1,rUNgFWQHE8DqboH1GntTm0krJN,<blank>,<blank>,<blank>,<blank>,<blank>
476,lead cliche,perpendicular davit,lead cliche116761,629,perpendicular-davit,627,lead cliche_Final,704,perpendicular-davit_Alt,90oodDBf3cuT5iSN,p5NRkKhM2lLMgrHWMHI2,70RCkhi2zLZV0KgPUF,rRmhCEoYcnAiG0DtlI8DEYA,lmWCQgfWS4UrpBucsM35fMRDFjRAn5,kMiWl6TQr23v77Lx,AO9WVGXeDmZSNtbu,T6MCIOPMSOQGMUCYgH2sadLPsTU,Iqf3f7D85NV0KKBGHfvVH3VwiPVv,Cq0XlD,3av6rYmlIqRz3PqVakifeFEg7ff,KhlMquJMx59ToWl01c4Zv,Vs6L3y05k6xwxOjBxe5fMzJwrKyiw,qgWHYB3F2AVO,US1TVjWHIoVGzt,0iWqKWsjDwQUQhznIBGS7OtEyQ,<blank>,<blank>,<blank>,<blank>,<blank>
477,grim pixel,lazy brass,grim pixel107526,1327,lazy-brass,1292,grim pixel_Final,1341,lazy-brass_Alt,xAKCVgN3zAmD8Q8cbob9ss5tfMI5Yn,f7MK3gbWYY,bpjLIOBL8jQrHXN2MbwNcZA7eGGO,swXY43XaNab4,0bZjKsTEy4TXD,7XNjKLzjdpmVE,yRw563KaWQmXnb6oA3ta1ftBHVPL,Ksd4ft47b2YWF,yyQ6X6abLDhY7odP,psYW9W,flYYlQZa3dTBLF,F7eMNv1sfahyh7DJoFgBXVpA9,Wru2hxd,fE0g7teZyLDymu,bbSxt,UkRwTyaWAiJdPq,<blank>,<blank>,<blank>,<blank>,<blank>
478,quick falcon,stale duplet,quick falcon376806,342,stale-duplet,311,quick falcon_Final,528,stale-duplet_Alt,2TVtVqvbQlPNpB,3tFae,aCbSCc3LHfNY,6fXuPKWUYrB9sfeKzSCDxJLP,FUqzLYQwycRqI,WQRSYcBbuUe7oiMB2,IKLDDiTLPfbNv40G4CJMfy6rCoU,jcEGfe2J,nqXof,lvo3XBnrYEo,hT5os3PCmhRNsVqEU5vSX6oq23vRxo,D3jMpzmGWbTOZKd2FQxBgN9,wNccYDxXETH6,ud5e8,FaUOtUgkOYYHZbrX3s60QoTryK0M,7hgI4abC4RqXVQysFH9lEAmHJC,<blank>,<blank>,<blank>,<blank>,<blank>
479,seething bezier,messy bind,seething bezier277344,1906,messy-bind,1887,seething bezier_Final,2713,messy-bind_Alt,gzLZWIDVnE4soaua,uQngAIVhudmTby97eqC9poOT,ABTE3ta61h3dQgScSauzRsNuq2L,oBHyZBI6jxNXkc,afGG2CUOPqp9,NrjYZl78f,wgYcsvaAOlO622opa4IvcW,gjR37uVWhHkjazeI,pJESiQAVFzXqtc1QTPKU23Uoh90,LO9ycsTyFtyLEeW4b0cIrMF40ugzNS,wEfXzhHDWAX4,YBRc3deCbuk8LXF8ySxxpNllo9GXUQ,0mBRpvPqz48A9vYErVt,RdEBSARw6iCB1EbcruTv0Tz6awq,XxwnzTOlUpbyKps0I05Zs5,JZ1IWsyIsDHCdbvKr9aalHZm,<blank>,<blank>,<blank>,<blank>,<blank>
480,naive bookcase,rounded reef,naive bookcase169345,480,rounded-reef,405,naive bookcase_Final,1346,rounded-reef_Alt,bqrZ8JrG1h0PCgxasJYym8cOO8B,7AP8UnZT9KVGtW4OZ913xT0E5,NeAIURDqA1fp0n5GO6FLECYkdk,cMKEkzgqEnpg,aCwBUK08HmCgzOkaB6lpX66K9M,ydEMUkArvqe,RRXNNWU0D2AmnW,76OimWnLYKg8pTpvno4hQADM9IkKP,T419OBbY0DiKy37Y0X2rq,jphfmMqfef,73IrHZAGVSBLzovg5WCxep3KHJf2,ZCnsiUuxiq,TVQQ7D7ryfS,cPh2VWo8rCkklf4DQv3wk2fqlC5nE,rgAUx0eO1MNNBDVLlsJiqjEIV,FpjJB4ROkDlGQiDgf,<blank>,<blank>,<blank>,<blank>,<blank>
481,wise gutter,glum canister,wise gutter239105,1581,glum-canister,1500,wise gutter_Final,2510,glum-canister_Alt,HkDEXu1csKEjghnxySCWGF53l4QK,VQTcYysUm94TTe2jAnKDRt8,ihsn2DQTPSyHBOiFF,xHWlLvHMgi,TKtwRpjH,qpaGktqk21SS4a5ruVy,TIDHB6707PwteTKWxh7fdy46,b6QCZOzB9t26oaz,Cfer2SSFzNe,3AiKJjCb3gOz5cMM03GZF8DB,eGSXGY2eO1ObSJ9TD7wbMGYebHDSlR,T8vpIdnIpIpwXQa4UUpgD,BcNGPYpzE1rkw23wGI1BsoTvNIOGk,JSJlANPiaIv8EIJH0y0Tgs1,ZtVNhAK,k71V0t3YD0,<blank>,<blank>,<blank>,<blank>,<blank>
482,forward nickel,wintry static,forward nickel142093,1659,wintry-static,1568,forward nickel_Final,2095,wintry-static_Alt,d9ZlUWqhb,4CQaZnOX0s2iKDqaeRErDgKJN,Vh8PXC6ZGsXHg,72OiYQ,DyUY2lCCErnu,1WkZzPr6PUCM8c2a,1GmI87,l0WyewDgmphgKgk,wlYrl6GuX1ztLLHbs5rABnqMibAx3l,aawi7,ydwwlgBAVxiQZiT34pElzf9Bff0V,07lkIRD9hHxhxGucKj4IgOTt,P386VIQ8p07Gs0vss,fX7LBJ66qZkcczfu85U,AFAuDuwW5nFqgHEaflooplnPZkaVrq,F4OmJgmwSEFz0,<blank>,<blank>,<blank>,<blank>,<blank>
483,achromatic path,indulgent audience,achromatic path5439,329,indulgent-audience,257,achromatic path_Final,475,indulgent-audience_Alt,kx0lXLXCjHO9y2j7XWLdu95Me1,FhB0rBlxKzLxKt,EiCnr1MV4jwP5cGX,JIGeo3eMkba6xlciSRCffMVFcnc,Zt77FbZ2aKuCuAskdAhRwQIeUobmpX,Uwps88d,B4AgdIuEjq,4uLniaFG4wHU,1ms7pROUCXI3MJY1m,DeJfwGuMwHck3ztGO7VCajOQ8i5yZ,Wv4XBUPBZnQsUX7RFjpmUdsqhs,lNQPrWaKMrhgWMTS,xvjNBwgoOw1uryGywYfdSXlfRoTwmm,iVXVDd,4Br6wlKOw9pRKNuBIOjTt8Rn,fnQhYc,<blank>,<blank>,<blank>,<blank>,<blank>
484,electric dispersion,silver edge,electric dispersion27906,838,silver-edge,748,electric dispersion_Final,1460,silver-edge_Alt,QTONS9zInhWpUUIxr0ZQA0i,73cryoPE5Nwpx0NpeSwY8tf5b0cR,Xqpp9mC15m,JftaiNB2Z31ZZJ,pz20QtMZgMijFCucV,Jph7ao7R,veBju3RfaYa3X848tFzza3k,oniR7HGYEn,zeQ6TWkYbA,dw9uor7PKavn9Taws85WuDjV,t0sVa46hkyZh,4fat6,fHBMRMD1,ApvNgYgemmn4kfbL0yZ,xW2RSHF,LaXmxyQxWwtah8PdRQCzjxoWJcm,9JTlR,FUk5T,X0xPV,10NCg,0KSU5
